"","lat","lon","Operator","Class"
"496",12.9742996,77.6020072,"Vodafone","good"
"497",12.9670789,77.5968195,"Vodafone","satisfactory"
"498",12.9464008,77.6468449,"Vodafone","good"
"499",12.9298305,77.557388,"Vodafone","poor"
"500",12.927465,77.5589805,"Vodafone","poor"
"501",12.98920103,77.58109931,"Vodafone","good"
"502",12.9463776,77.6468225,"Vodafone","good"
"503",12.9298911,77.5573072,"Vodafone","good"
"504",12.8904376,77.6241212,"Vodafone","satisfactory"
"505",12.9299732,77.5574079,"Vodafone","good"
"506",12.9470647,77.6464198,"Vodafone","good"
"507",12.9255492,77.6335547,"Vodafone","good"
"508",12.9463314,77.6467778,"Vodafone","good"
"509",12.9735304,77.6001545,"Vodafone","good"
"510",12.9281543,77.5581244,"Vodafone","good"
"511",12.83938978,77.64771992,"Vodafone","good"
"512",12.9297855,77.5575279,"Vodafone","good"
"513",12.97524559,77.59950167,"Vodafone","good"
"514",12.9636272,77.60447832,"Vodafone","poor"
"515",12.9580264,77.6029012,"Vodafone","good"
"516",12.9296853,77.5573855,"Vodafone","poor"
"517",12.946674,77.646789,"Vodafone","good"
"518",12.9464113,77.6468337,"Vodafone","good"
"519",12.9463419,77.6467666,"Vodafone","good"
"520",12.9463136,77.6468673,"Vodafone","good"
"521",12.9751895,77.599539,"Vodafone","good"
"522",12.9295405,77.5575871,"Vodafone","poor"
"523",12.9296979,77.5574191,"Vodafone","poor"
"524",12.9676558,77.5966516,"Vodafone","good"
"525",12.912585,77.6014862,"Vodafone","good"
"526",12.9297855,77.5575279,"Vodafone","satisfactory"
"527",12.9463787,77.6468449,"Vodafone","poor"
"528",12.9796944,77.5707071,"Vodafone","satisfactory"
"529",12.9676337,77.5966516,"Vodafone","poor"
"530",12.8485584,77.6833065,"Vodafone","good"
"531",12.9296979,77.5574191,"Vodafone","poor"
"532",12.9463346,77.6468449,"Vodafone","poor"
"533",12.9580034,77.602941,"Vodafone","good"
"534",12.9296853,77.5573855,"Vodafone","satisfactory"
"535",12.9620432,77.5939992,"Vodafone","good"
"536",12.9282316,77.5581465,"Vodafone","good"
"537",12.9379631,77.5684683,"Vodafone","poor"
"538",12.9445398,77.6033233,"Vodafone","satisfactory"
"539",12.9289133,77.5585386,"Vodafone","good"
"540",12.9707609,77.5976477,"Vodafone","poor"
"541",12.83938978,77.64771992,"Vodafone","good"
"542",12.926654,77.5581244,"Vodafone","poor"
"543",12.9272631,77.5859522,"Vodafone","good"
"544",12.9477502,77.6466771,"Vodafone","poor"
"545",12.9262593,77.5672749,"Vodafone","satisfactory"
"546",12.9460643,77.646733,"Vodafone","good"
"547",12.9791498,77.6036237,"Vodafone","good"
"548",12.9741713,77.5999419,"Vodafone","good"
"549",12.9296853,77.5573855,"Vodafone","satisfactory"
"550",12.9463314,77.6467778,"Vodafone","good"
"551",12.9297673,77.5574863,"Vodafone","good"
"552",12.9463187,77.6467442,"Vodafone","good"
"553",12.9296454,77.5574751,"Vodafone","good"
"554",12.929695,77.5575871,"Vodafone","poor"
"555",12.9464008,77.6468449,"Vodafone","good"
"556",12.9654482,77.5991697,"Vodafone","good"
"557",12.9378095,77.5682556,"Vodafone","satisfactory"
"558",12.8065749,77.6936836,"Vodafone","good"
"559",12.9250794,77.5556615,"Vodafone","poor"
"560",12.9703842,77.6125423,"Vodafone","good"
"561",12.9272172,77.5599716,"Vodafone","good"
"562",12.9297108,77.5576878,"Vodafone","satisfactory"
"563",13.046655,77.7501767,"Vodafone","good"
"564",12.9579625,77.6030082,"Vodafone","good"
"565",12.9298212,77.5573516,"Vodafone","satisfactory"
"566",12.9676547,77.5966293,"Vodafone","good"
"567",12.9298284,77.5576094,"Vodafone","satisfactory"
"568",12.907619,77.6362957,"Vodafone","good"
"569",12.9125503,77.6014526,"Vodafone","satisfactory"
"570",12.8490896,77.6820455,"Vodafone","good"
"571",12.9466363,77.6469232,"Vodafone","poor"
"572",12.9301077,77.5574527,"Vodafone","satisfactory"
"573",12.9463787,77.6468449,"Vodafone","good"
"574",12.9463314,77.6467778,"Vodafone","good"
"575",12.9299034,77.5571056,"Vodafone","satisfactory"
"576",12.9299438,77.5574863,"Vodafone","good"
"577",12.9462956,77.6467219,"Vodafone","satisfactory"
